iata,icao
PKO,DBBP
SVF,DBBS
DJA,DBBD
COO,DBBB
SBH,TFFJ
BDA,TXKF
BWN,WBSB
MHW,SLAG
SRE,SLSU
SRJ,SLSB
CBB,SLCB
CCA,SLHI
BVK,SLHJ
BVL,SLBU
GYA,SLGY
MGD,SLMG
RBQ,SLRQ
REY,SLRY
RIB,SLRI
SBL,SLSA
SJB,SLJO
SNM,SLSM
SRB,SLSR
SRD,SLRA
TDD,SLTR
APB,SLAP
LPB,SLLP
ORU,SLOR
CIJ,SLCO
PUR,SLPR
POI,SLPO
UYU,SLUY
ASC,SLAS
CAM,SLCA
CEP,SLCP
MQK,SLTI
PSZ,SLPS
RBO,SLRB
SJS,SLJE
SJV,SLJV
SNG,SLSI
SRZ,SLET
VAH,SLVG
VVI,SLVR
BJO,SLBJ
BYC,SLYA
TJA,SLTJ
VLM,SLVM
BON,TNCB
SAB,TNCS
EUX,TNCE
CZS,SBCZ
FEJ,SNOU
RBR,SBRB
TRQ,SBTK
ZMD,SWSN
APQ,SNAL
MCZ,SBMO
MCP,SBMQ
OYK,SBOI
BAZ,SWBC
BCR,SWNK
CAF,SWCA
CIZ,SWKO
ERN,SWEI
FBA,SWOB
HUW,SWHT
IPG,SWII
IRZ,SWTP
ITA,SBIC
LBR,SWLB
MAO,SBEG
MBZ,SWMW
MNX,SBMY
NVP,SWNA
OLC,SDCG
PIN,SWPI
PLL,SBMN
RBB,SWBR
SJL,SBUA
TBT,SBTT
TFF,SBTF
BMS,SNBU
BPS,SBPS
BQQ,SNBX
BRA,SNBR
BVM,SNBL
CNV,SNED
CRQ,SBCV
FEC,SNJD
GNM,SNGI
IOS,SBIL
IPU,SNIU
IRE,SNIC
ITE,SNZW
ITN,SNHA
JCM,SNJB
JEQ,SNJK
LAZ,SBLP
LEC,SBLE
MVS,SNMU
PAV,SBUF
PDF,SNRD
SSA,SBSV
TXF,SNTF
UNA,SBTC
VAL,SNVB
VDC,SBQV
ARX,SBAC
CMC,SNWC
FOR,SBFZ
JDO,SBJU
JJD,SBJE
BSB,SBBR
CDI,SNKI
GUZ,SNGA
SBJ,SNMX
VIX,SBVT
APS,SWNS
ARS,SWEC
CLV,SBCN
GYN,SBGO
ITR,SBIT
JTI,SWJW
MQH,SBMC
NQL,SWNQ
RVD,SWLC
SQM,SWUA
TLZ,SWKT
APY,SNAI
BDC,SNBC
BRB,SBRR
BSS,SNBS
CLN,SBCI
CPU,
CTP,SNCP
GMS,SNGM
IMP,SBIZ
PDR,
PHI,SNYE
SLZ,SBSL
BYO,SBDB
CGR,SBCG
CMG,SBCR
CSS,SSCL
DOU,SSDO
PBB,SSPN
PMG,SBPP
TJL,SBTG
AFL,SBAT
AIR,SSOU
AZL,SWTU
BPG,SBBW
CCX,SWKC
CFO,
CGB,SBCY
CQA,SWEK
DMT,SWDM
GGB,SWHP
JIA,SWJN
JRN,SWJU
JUA,SIZX
LCB,
LVR,SILC
MBK,SWXM
MTG,SWVB
NOK,SWXV
OPS,SWSI
OTT,
PBV,SWPG
PBX,SWPQ
ROO,SWRD
STZ,SWST
SWM,
SXO,SWFX
TGQ,SWTS
VLP,SWVC
AAX,SBAX
AMJ,SNAR
DIQ,SNDV
DTI,SNDT
ESI,
GVR,SBGV
IPN,SBIP
ITI,
IZA,SBZM
JDF,SBJF
JDR,SNJR
JNA,SNJN
LEP,SNDN
MOC,SBMK
NNU,SNNU
PIV,SNPX
POJ,SNPD
POO,SBPC
PPY,SNZA
PSW,SNOS
SSO,SNLO
TFL,SNTO
UBA,SBUR
UDI,SBUL
VAG,SBVG
ALT,
ATM,SBHT
BEL,SBBE
BVS,SNVS
CDJ,SBAA
CKS,SBCJ
CMP,SNKE
CMT,
GGF,SNYA
ITB,SBIH
JCR,SBEK
MAB,SBMA
MEU,SBMD
MTE,SNMA
NPR,SJNP
OBI,SNTI
OIA,SDOW
ORX,SNOX
PTQ,SNMZ
RDC,SNDC
SFK,SNSW
STM,SBSN
SXX,SNFX
TMT,SBTB
TUZ,
XIG,
CPV,SBKG
JPA,SBJP
AAG,SSYA
APU,SSAP
APX,SSOG
BFH,SBBI
CAC,SBCA
CBW,SSKM
CKO,SSCP
CWB,SBCT
FBE,SSFB
GGH,SSCT
GGJ,SSGY
GPB,SBGU
IGU,SBFI
LDB,SBLO
MGF,SBMG
PGZ,SSZW
PNG,SSPG
PTO,SSPB
PVI,SSPI
TEC,SBTL
TOW,SBTD
TUR,SBTU
UMU,SSUM
CAU,SNRU
FEN,SBFN
PNZ,SBPL
REC,SBRF
FLB,SNQG
GDP,SNGD
PCS,SNPC
PHB,SBPB
THE,SBTE
MVF,SBMS
NAT,SBNT
ALQ,SSLT
BGV,
BGX,SBBG
CEL,SSCN
CSU,SSSC
CTQ,SSVP
CXJ,SBCX
CZB,
ERM,SSER
GEL,SBNM
HRZ,SSHZ
IJU,SSIJ
ITQ,SSIQ
LVB,SNLB
PET,SBPK
PFB,SBPF
POA,SBPA
RIA,SBSM
RIG,SBRG
SQY,SSRU
SRA,SSZR
TSQ,SBTR
URG,SBUG
BZC,SBBZ
CAW,SBCP
CFB,SBCB
ITP,SDUN
MEA,SBME
REZ,SDRS
AQM,
BVH,SBVH
CQS,SWCQ
GJM,SBGM
JPR,SWJI
OAL,SSKW
PBQ,SWPM
PVH,SBPV
BVB,SBBV
AXE,
BNU,SSBL
CCI,SSCK
CCM,SBCM
CFC,SBCD
FLN,SBFL
JCB,SSJA
JJG,SBJA
JOI,SBJV
LAJ,SBLJ
LOI,SSLN
NVT,SBNF
SQX,SSOE
UVI,SSUV
VIA,SSVI
XAP,SBCH
AIF,SBAS
AQA,SBAQ
ARU,SBAU
BAT,SBBT
BAU,SBBU
BJP,SBBP
CPQ,SDAM
FRC,SIMK
GUJ,SBGW
JLS,SDJL
JTC,SBAE
LIP,SBLN
MII,SBML
OUS,SDOU
PPB,SBDN
QSC,SDSC
RAO,SBRP
SFV,
SJK,SBSJ
SJP,SBSR
SOD,SDCO
SSZ,SBST
UBT,SDUB
URB,SBUP
VOT,SDVG
AJU,SBAR
AAI,SWRA
AUX,SWGN
DNO,SWDN
GRP,SWGI
IDO,SWIY
NTM,
PMW,SBPJ
PNB,SBPN
AXP,MYAP
GHC,MYBG
BIM,MYBS
NSB,
TBI,MYCB
ASD,MYAF
CCZ,MYBC
MAY,MYAB
SAQ,MYAN
CXY,MYCC
WKR,MYAW
FPO,MYGF
GGT,MYEF
NMC,MYEN
TYM,MYES
ELH,MYEH
MHH,MYAM
TCB,MYAT
IGA,MYIG
CRI,MYCI
DCT,MYRD
LGI,MYLD
PWN,MYCP
SML,MYLS
MYG,MYMM
NAS,MYNN
RCY,MYRP
ZSA,MYSM
TZN,MYAK
ATC,MYCA
GHB,MYEM
RSD,MYER
WTD,MYGW
BUT,VQBT
PBH,VQPR
GLU,VQGP
YON,VQTY
ORP,FBOR
PKW,FBSP
SXN,FBSN
TLD,FBTL
BBK,FBKE
GNZ,FBGZ
HUK,
TBY,FBTS
FRW,FBFT
KHW,FBKR
MUB,FBMN
SVT,FBSV
SWX,FBSW
GBE,FBSK
LOQ,FBLO
JWA,FBJW
BQT,UMBB
GME,UMGG
GNA,UMMG
MVQ,UMOO
MHP,UMMM
MSQ,UMMS
VTB,UMII
BZE,MZBZ
CUK,
CYC,
SPR,
TZA,
BCV,
CYD,
MZE,
SQS,
CZH,
SJX,
ORZ,
BGK,
DGA,
INB,
MDB,
PLJ,MZPL
SVK,
PND,
HZP,CYNR
JHL,
NML,
TIL,
WPC,CZPC
YBA,CYBA
YBY,CYBF
YCT,CYCT
YDC,
YEG,CYEG
YET,CYET
YFI,
YGC,
YJA,CYJA
YJP,
YLB,CYLB
YLL,CYLL
YMM,CYMM
YOD,CYOD
YOE,
YOJ,CYOJ
YOP,CYOP
YPE,CYPE
YPY,CYPY
YQF,CYQF
YQL,CYQL
YQU,CYQU
YRM,CYRM
YSD,CYSD
YVG,CYVG
YXH,CYXH
YYC,CYYC
YYM,CYYM
YZH,CYZH
YZU,CYZU
ZFW,
ZHP,CZHP
CFQ,
CJH,
CXH,CYHC
DGF,
DUQ,
QBC,CYBD
SYF,
TUX,
WPL,
XBB,
XQU,
YAA,
YAJ,
YAL,CYAL
YAQ,
YAV,
YAZ,CYAZ
YBF,
YBH,CYBH
YBL,CYBL
YBO,
YBQ,
YBW,
YCA,
YCD,CYCD
YCF,
YCG,CYCG
YCQ,CYCQ
YCW,CYCW
YCZ,CYCZ
YDL,CYDL
YDQ,CYDQ
YDT,CZBB
YGB,CYGB
YGE,
YGG,
YGN,
YHC,
